src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,flow_iat_mean,flow_iat_std,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,packet_length_mean,packet_length_std,label
192.168.68.220,10.0.8.2,17256,22,TCP,13.391632241037474,52,24,64897,29952,7082706.446294397,5675.185715383127,0.176205687382072,0.03357433699836749,1,1,0,3,52,0,1248.0131578947369,249.60639688259562,BENIGN
192.168.208.213,10.0.66.10,49039,25,ICMP,721.5659817048528,41,6,45379,6640,72091.81324914192,65.1361083971178,15.352467695847931,3.3714797713253586,1,0,1,0,41,0,1106.787234042553,221.36161976519662,BENIGN
192.168.194.41,10.0.254.203,65495,25,ICMP,737.4820043477334,68,28,81741,33658,156477.03851711572,130.17266785364785,7.682104211955557,3.8366296924616345,1,2,0,4,68,0,1202.0729166666667,240.41742126084793,BENIGN
192.168.194.243,10.0.201.201,18892,3389,UDP,5118.686870906576,999,465,690855,0,134967.23230456994,286.0108533540184,3.8114451946967995,0.43244707815612515,0,2,0,1,999,1,471.8954918032787,149.0263038620436,DataExfiltration
192.168.131.243,10.0.31.40,5348,110,UDP,986.5287335441867,33,21,12790,8139,21214.790090107992,54.73738185607681,18.269050621188644,5.391633839913578,1,2,1,0,33,0,387.5740740740741,77.51557950303811,BENIGN
192.168.15.140,10.0.225.237,24525,80,ICMP,279.19225819862476,57,51,79638,71255,540462.6939642815,386.8302104679634,2.585113501839118,1.0816191436153737,0,1,1,0,57,1,1397.1574074074074,279.4317428187475,BENIGN
192.168.153.199,10.0.52.4,55866,110,UDP,956.4592818618656,37,36,7118,6926,14683.322402038511,76.3231654335525,13.102181943313228,5.917565400482155,1,2,1,4,37,1,192.3835616438356,38.47883986408093,BENIGN
192.168.84.116,10.0.183.144,26541,53,ICMP,921.3862047007625,26,10,23798,9153,35762.41952819497,39.07156392871291,25.594061241687847,9.752772708011852,0,1,1,0,26,1,915.3055555555555,183.06369984192926,BENIGN
192.168.254.244,10.0.29.96,6655,53,TCP,67.92954449631206,25,10,20005,8002,412294.82999875734,515.239727566555,1.940844128466059,0.9395644477318423,0,2,1,4,25,0,800.2,160.04401437283465,Malware
192.168.170.189,10.0.13.11,33845,21,UDP,908.3202602116226,87,2,59683,1372,67217.48118419737,97.98306159026396,10.20584562035531,4.501124733370857,0,1,1,1,87,1,686.0112359550562,137.2044455697158,BENIGN
192.168.114.27,10.0.54.178,20898,21,UDP,936.3308722738059,9,3,12720,4240,18113.255156068895,12.81598242174686,78.02757268948382,30.453409758379138,1,1,1,0,9,1,1413.3333333333333,282.66791404349556,BENIGN
192.168.168.54,10.0.3.183,17399,53,TCP,1151.2655183902825,994,493,762600,0,662401.4945451326,1291.62211170812,5.489408239694204,0.5933748008470655,0,2,0,4,994,1,512.8446536650976,85.1136438012252,DataExfiltration
192.168.126.239,10.0.7.208,56772,443,UDP,245.29590254131503,40,3,31176,2338,136626.82357425542,175.29848462412673,5.704555873053838,2.450094110544337,0,2,0,2,40,1,779.3953488372093,155.88267225811603,BENIGN
192.168.62.216,10.0.137.68,16720,80,TCP,87.98413437173087,41,23,11288,6332,200263.37845816519,727.4038718117238,1.374752099558295,0.26483170817575896,0,1,1,0,41,1,275.3125,55.065285714468295,BENIGN
192.168.89.54,10.0.185.20,4976,80,UDP,5.575653789801644,2878,0,348772,0,62552664.34188119,516172.65140531375,0.01219579163095179,0.003205901592514185,1,2878,0,3,703,0,121.18554551772064,99.22395781310827,DDoS
192.168.93.114,10.0.28.188,21402,110,TCP,447.33689283170327,90,72,64978,51982,261458.42624252904,362.1431690431746,2.7613388446401435,0.5070460171801693,0,0,1,4,90,0,721.9753086419753,144.3964200684364,BENIGN
192.168.186.226,10.0.78.22,29803,21,UDP,35.00962953833112,258,0,1320417,1043445,67520337.43778609,7369.401030579962,0.020307209709008768,0.005036913219475668,0,258,1,2,963,1,9162.255813953489,274.23005270413444,PortScan
192.168.240.123,10.0.47.118,21219,25,UDP,416.5279606772732,13,6,12212,5636,42849.4643456329,45.61518503849311,21.922524246172273,8.44123580589393,0,2,1,0,13,1,939.3684210526316,187.88602654786223,BENIGN
192.168.251.166,10.0.212.162,41072,110,UDP,552.1362798386552,34,6,6798,1199,14483.743039556966,72.44588240368621,13.80340699596638,6.386302484421921,0,1,0,4,34,0,199.925,39.992380472977146,BENIGN
192.168.26.99,10.0.50.153,11671,993,TCP,518.811322711373,2,1,2255,1127,6518.747475142301,5.782448972627706,172.93710757045767,65.88793699665102,1,2,0,1,2,0,1127.3333333333333,225.54874701900755,BENIGN
192.168.180.223,10.0.138.250,45714,25,TCP,18.143940729918487,90,47,110045,57468,9232448.589505095,7550.730132958028,0.13243752357604735,0.03435454442037219,1,1,0,3,90,1,1222.7226277372263,244.5454070089839,BENIGN
192.168.54.31,10.0.58.104,41641,993,ICMP,107.17223305896528,17,15,12875,11360,226131.33372583648,298.5848021137515,3.349132283092665,1.5416192040642829,1,2,1,1,17,0,757.34375,151.4758885031023,BENIGN
192.168.62.165,10.0.225.51,14569,993,UDP,906.9216131042083,1,0,391,0,431.1287705027632,1.1026311266055324,906.9216131042083,387.44226973181634,0,2,0,2,1,0,391.0,78.26297868204566,BENIGN
192.168.17.115,10.0.147.154,61035,80,TCP,870.0991904880373,21,10,17909,8528,30383.892191844847,35.62812187264782,28.06771582219475,10.44967676137921,0,1,1,3,21,1,852.8064516129032,170.5654160845916,BENIGN
192.168.176.67,10.0.174.225,46665,21,TCP,5.839952421480791,4723,0,5748225,0,984293121.7823976,808739.4655181841,0.0024759316300853674,0.0002630858548687136,1,4723,1,0,4009,1,1217.070717764133,286.7660548647786,DDoS
192.168.122.223,10.0.107.96,9050,143,UDP,942.6033937372283,93,66,35347,25085,64111.79972565085,168.68176059667869,5.928323231051751,0.7557750798819597,1,2,1,3,93,0,380.07547169811323,76.0159727998451,BENIGN
192.168.239.56,10.0.94.107,20286,995,UDP,461.31798926469304,90,45,52838,26419,171805.569790005,292.6397910802917,3.4171702908495782,1.285395708024339,0,1,0,0,90,1,587.0888888888888,117.4183040930073,BENIGN
192.168.209.186,10.0.142.93,44819,80,TCP,428.1143135043523,90,81,64340,57906,285545.2297292957,399.4260285302551,2.503592476633639,0.32940252416574506,0,0,0,0,90,0,714.8888888888889,142.97841472884213,BENIGN
192.168.28.3,10.0.84.198,61082,995,TCP,668.9040740761911,74,65,99102,87049,278292.519382677,207.80259141338,4.812259525727994,1.4478233497401076,0,1,0,0,74,0,1339.2158273381294,267.8448192842258,BENIGN
192.168.250.150,10.0.64.41,28886,993,TCP,790.184525516756,35,9,52226,13429,83088.18748008723,55.68319623979649,17.95873921628991,2.327990698054313,0,2,0,4,35,0,1492.159090909091,298.4388545197955,BENIGN
192.168.40.38,10.0.48.183,52810,22,TCP,145.43513052934512,70,65,47290,43912,627097.453469798,928.248900445415,1.0772972631803341,0.3464839583755555,0,0,1,4,70,1,675.5703703703704,135.116514126535,BENIGN
192.168.254.128,10.0.135.128,49950,443,UDP,502.3384023130828,86,81,109406,103045,422924.06676802255,332.44521866340835,3.00801438510828,1.0455077877275254,0,0,1,2,86,0,1272.1616766467066,254.43276729853707,BENIGN
192.168.8.183,10.0.224.134,62132,993,TCP,8.88592825215781,276,0,520051,266415,88506904.13902666,31060.345319913842,0.011107410315197262,0.001119324457411543,0,276,0,1,529,0,2849.514492753623,196.6167275346026,PortScan
192.168.225.111,10.0.104.60,28330,995,ICMP,826.9720289812692,74,37,28895,14447,52410.478808324595,134.22461233270337,7.450198459290713,3.567999396844155,1,1,0,1,74,0,390.4684684684685,78.09520232621227,BENIGN
192.168.161.160,10.0.189.182,15376,110,UDP,584.811525667868,53,38,29342,21037,86145.70299801469,155.6056883387788,6.426500282064483,1.513084091967462,0,2,1,1,53,0,553.6153846153846,110.72559702642559,BENIGN
192.168.15.119,10.0.29.157,18506,443,UDP,770.6370103899854,58,22,40850,15494,73113.54014970911,103.81022312893528,9.632962629874818,4.805401481928217,0,2,0,0,58,0,704.3,140.86325727140215,BENIGN
192.168.153.140,10.0.199.39,49808,993,UDP,52.11434093903043,75,70,36727,34278,1362484.850054424,2782.3435428193998,0.35940924785538225,0.053855806073282345,1,0,1,1,75,1,489.6896551724138,97.93897176012078,BENIGN
192.168.191.206,10.0.12.156,17067,143,TCP,719.3004237197282,5,1,2114,422,3525.6478605775706,8.341438155940624,119.88340395328804,45.321672271713474,0,2,0,2,5,1,422.6666666666667,84.56772056695452,BENIGN
192.168.29.202,10.0.93.73,57187,993,TCP,22.964535517284286,83,62,76426,57089,5813964.750103906,6314.083726660422,0.1583761070157537,0.059931508541428764,1,1,1,2,83,0,920.7931034482758,184.1601465815643,BENIGN
192.168.207.29,10.0.117.235,11679,80,TCP,679.2188273527627,58,48,82955,68652,223207.8880835566,156.0616339407613,6.407724786346818,2.207683158164543,0,0,0,4,58,0,1430.254716981132,286.05415065001563,BENIGN
192.168.234.28,10.0.11.206,36086,995,UDP,84.47078317317906,81,31,108804,41641,1781030.0123720043,1325.9022326143406,0.7542034211890988,0.18229740092548058,1,2,1,1,81,0,1343.2589285714287,268.65370964715976,BENIGN
192.168.59.220,10.0.161.101,62846,80,TCP,430.74573253586885,81,29,55384,19828,174608.81053241075,255.37107321391775,3.9158702957806257,1.9463405983194788,0,1,0,1,81,0,683.7454545454545,136.75101932254867,BENIGN
192.168.132.36,10.0.70.252,20894,80,TCP,147.45821687033347,29,4,11568,1595,89265.96482293562,223.7922083990637,4.468430814252529,2.02037412602457,0,2,0,0,29,0,398.8787878787879,79.7831024003244,BENIGN
192.168.210.150,10.0.46.113,57434,993,ICMP,974.7950735769926,16,7,7243,3168,10680.193491127346,23.594702746703387,42.382394503347506,15.462993293028333,1,2,1,3,16,1,452.6521739130435,90.54033115545718,BENIGN
192.168.48.211,10.0.87.152,34442,22,TCP,402.9326202820954,83,24,13575,3925,43431.5791750694,265.5530840989957,3.765725423197153,1.0427953534036976,1,0,0,0,83,1,163.55140186915887,32.711096487366035,BENIGN
192.168.97.240,10.0.19.149,39189,21,UDP,38.65969303224795,19,13,20498,14025,892997.2612871672,827.7354911563118,1.2081154072577485,0.40147938017875123,0,2,1,2,19,1,1078.84375,215.76957532719769,BENIGN
192.168.53.104,10.0.104.179,12326,80,ICMP,899.7677778468809,38,32,43227,36402,88499.5017164873,77.79785153843588,12.853825397812585,2.479311115210327,0,2,0,1,38,1,1137.557142857143,227.5134139866193,BENIGN
192.168.196.65,10.0.83.154,15320,53,TCP,965.0503540850174,79,26,81747,26904,112585.8350707659,108.80261279169468,9.190955753190641,2.069462781344593,1,2,1,1,79,0,1034.7714285714285,206.95474992869168,BENIGN
192.168.157.38,10.0.185.97,45052,21,UDP,117.7811426676557,6,2,5792,1930,65562.277840938,67.92258776579953,14.722642833456963,6.148323988303549,0,0,1,2,6,1,965.25,193.0777528421112,BENIGN
192.168.247.223,10.0.223.234,38712,143,UDP,156.82488283523423,64,37,75832,43840,763093.1892723404,644.030450869931,1.552721612230042,0.5428305350148707,1,1,0,0,64,0,1184.8712871287128,236.9756909220078,BENIGN
192.168.106.86,10.0.211.158,60468,443,UDP,943.8226158298023,91,24,47840,12617,64055.46867177645,121.8449294085762,8.207153181128716,3.823530666365435,0,2,1,3,91,1,525.7130434782608,105.14428013837147,BENIGN
192.168.32.154,10.0.58.167,62355,443,ICMP,86.81207121687395,35,14,14534,5813,234379.8473505962,564.4376330751076,1.771674922793346,0.3631823426970416,0,1,1,4,35,1,415.2448979591837,83.05275884396762,Malware
192.168.211.154,10.0.37.219,30429,5900,TCP,763.5443075969984,93,23,23176,5731,37858.968644498396,151.92307616708112,6.5822785137672275,0.7397707063632805,0,1,1,4,93,1,249.19827586206895,49.84274235668187,BENIGN
192.168.219.60,10.0.90.52,60414,5900,ICMP,832.6662022849803,6,4,2464,1643,4932.348627492843,12.009614383961146,83.26662022849803,20.98185444159023,0,2,1,2,6,0,410.7,82.1605883530608,BENIGN
192.168.223.53,10.0.215.128,64179,143,TCP,171.5376549491677,85,20,10987,2585,79119.65453895142,612.1105015170866,1.6336919518968351,0.31153929444135614,0,0,1,1,85,1,129.25714285714287,25.853958125160602,BENIGN
192.168.7.22,10.0.81.210,32752,25,ICMP,401.3034626676322,79,50,5077,3213,20657.683701239202,321.45249667790796,3.11087955556304,0.8611330483763936,1,1,1,0,79,1,64.26356589147287,12.853570890614447,BENIGN
192.168.140.73,10.0.2.8,17145,53,UDP,727.9035065619889,2,1,2317,1158,4773.984420562845,4.121425399047061,242.63450218732964,42.90004805022529,0,2,0,0,2,0,1158.3333333333333,231.70730314783165,BENIGN
192.168.3.26,10.0.57.126,64052,443,TCP,64.11991376336627,74,55,23222,17259,631332.726824846,2011.8554818409903,0.4970535950648548,0.17641469072640936,0,2,1,2,74,0,313.8062015503876,62.76237633543886,BENIGN
192.168.68.243,10.0.129.92,31678,80,UDP,356.82946147047653,98,31,106050,33546,391212.0916942559,361.51723422275,2.7661198563602833,0.838074973380704,0,0,1,2,98,0,1082.139534883721,216.4287416152355,BENIGN
192.168.112.120,10.0.194.212,45678,25,UDP,117.9280276336198,95,52,21575,11809,283087.9195547797,1246.523010260982,0.802231480500815,0.38976347668470723,1,1,1,3,95,1,227.10204081632654,45.42227755115543,BENIGN
192.168.158.228,10.0.149.126,8123,21,UDP,808.459943005062,7,0,3813,0,4716.374673836037,8.658437638828287,115.49427757215172,40.91478665762912,0,1,0,1,7,1,544.7142857142857,108.95141283100307,BENIGN
192.168.142.68,10.0.53.84,36385,80,ICMP,680.3660103178955,25,6,5007,1201,9124.500498047164,45.56371060558345,21.947290655415983,5.764287801140006,0,0,1,3,25,0,200.25806451612902,40.057551684817604,BENIGN
192.168.57.55,10.0.241.47,21515,25,ICMP,819.2832153565255,44,29,3147,2074,6372.643674541764,89.10227700470193,11.223057744609939,1.5334381333873608,0,0,0,0,44,1,71.52054794520548,14.30889668996815,BENIGN
192.168.62.188,10.0.236.178,62797,143,ICMP,255.3860141090001,73,16,16905,3705,80701.36523295887,348.49206723596984,2.869505776505619,0.9826357171868222,0,1,0,0,73,0,231.57303370786516,46.315109621490876,BENIGN
192.168.183.78,10.0.101.56,62056,25,ICMP,6.9733403103363045,5486,0,642469,0,92132173.59372148,786710.4939462543,0.0005206558690461023,0.0002514379673949376,1,5486,1,1,5009,1,117.11064527889172,25.6526118236156,DDoS
192.168.214.149,10.0.204.11,29185,22,UDP,211.79568501581855,91,26,34536,9867,209650.16353701276,552.4191864025064,1.8102195300497312,0.39656386242442854,1,0,0,0,91,1,379.5128205128205,75.90437383170598,BENIGN
192.168.251.234,10.0.3.137,57659,143,UDP,325.02146188736066,81,40,29713,14673,136563.28952019298,372.283108005753,2.6861277841930633,1.1340079851591542,1,0,1,2,81,0,366.8264462809917,73.36652458992235,BENIGN
192.168.50.207,10.0.32.98,21546,21,UDP,341.3754600455054,286,243,297635,252886,1612655.4613111776,1549.61343715065,0.6453222307098401,0.2100661678845595,1,1,0,0,286,0,1040.6824196597354,208.13702448423365,BruteForce
192.168.47.247,10.0.71.154,46631,22,TCP,225.66532659909657,68,10,59359,8729,301721.14177275024,345.64459314819817,2.8931452128089306,0.6669723089634757,0,2,0,3,68,0,872.9230769230769,174.58683719189102,BENIGN
192.168.38.231,10.0.241.70,45159,5900,ICMP,91.8445144631281,52,27,37103,19265,613732.8977075652,860.1493563528536,1.1625887906725076,0.2602342213953543,0,1,0,1,52,0,713.5189873417721,142.70459086674356,BENIGN
192.168.165.51,10.0.15.8,58917,80,UDP,605.4661821843059,99,26,75485,19824,157414.24179325614,206.4524884759783,4.843729457474447,0.8261695726230031,0,2,0,3,99,0,762.472,152.4955262059904,BENIGN
192.168.238.70,10.0.115.88,28933,80,TCP,572.1071994713888,66,1,72752,1102,129091.19142048738,117.11091918071673,8.5389134249461,2.55862959098336,1,1,1,0,66,1,1102.2985074626865,220.4620064322067,BENIGN
192.168.133.203,10.0.232.5,50879,443,UDP,106.19303514630585,80,6,82893,6217,839132.2451348156,809.845955353991,1.2348027342593704,0.607080092764072,0,1,0,0,80,1,1036.1627906976744,207.23428666105372,BruteForce
192.168.169.112,10.0.13.137,52723,995,TCP,194.7599134005071,64,41,64528,41338,543571.8169698281,539.1253167384424,1.8548563181000675,0.7362652205434816,1,2,0,2,64,1,1008.2476190476191,201.65132182984826,BENIGN
192.168.14.194,10.0.157.132,27289,5900,TCP,5441.50327665355,612,293,963018,0,176976.46239262083,166.3143352100603,3.8973848235698094,1.9028592720463755,1,0,0,3,612,0,1064.1082872928177,244.87990616361964,DataExfiltration
192.168.140.99,10.0.142.22,6706,80,UDP,718.9805667068232,27,8,20818,6168,37533.698752951146,48.68003617999297,20.542301905909234,5.866357706186849,0,1,1,1,27,0,771.0285714285715,154.2078163869987,BENIGN
192.168.107.168,10.0.134.20,24458,993,ICMP,7.610383362901633,5802,0,2764154,0,363208246.968797,762379.4654396825,0.002677526361619745,0.0003966385166098535,0,5802,1,3,2059,0,476.4139951740779,268.49489440300306,DDoS
192.168.90.56,10.0.96.10,59478,53,UDP,77.78980889727731,56,10,29636,5292,449004.831032854,848.4401869035835,1.1786334681405652,0.38338499519498737,1,0,1,1,56,0,529.2121212121212,105.84593780447399,Malware
192.168.131.232,10.0.95.190,61288,143,UDP,7.605283332589305,1532,0,4095713,0,538535228.8519629,201438.91200413875,0.0009726605494933987,0.00025480236499075023,1,1532,0,1,5424,1,2673.441906005222,151.02187896488815,DDoS
192.168.148.211,10.0.227.244,16874,143,ICMP,721.8113282607837,99,53,74013,39623,157431.7214912764,210.58134452703382,4.748758738557788,2.2543872383194827,0,0,1,3,99,0,747.6052631578947,149.52167551158144,BENIGN
192.168.229.140,10.0.70.150,57119,110,UDP,289.67955639613746,46,44,28925,27667,195360.69684741684,310.68813111866547,3.2186617377348608,1.0843303170918481,1,1,1,4,46,0,628.8,125.7616965346262,BENIGN
192.168.58.28,10.0.26.113,30142,53,TCP,165.5416470788636,68,14,24358,5014,177429.67113289176,495.3436277031569,2.018800574132483,0.3323913245392886,1,2,0,0,68,1,358.1951219512195,71.64190193608465,BENIGN
192.168.151.168,10.0.5.34,41751,443,TCP,76.9820875174214,45,28,37732,23478,795120.0334252808,948.2725443562408,1.0545491440742658,0.16119558894506997,1,1,1,3,45,0,838.4931506849315,167.70080443030068,Malware
192.168.28.173,10.0.17.127,13690,25,TCP,899.1249586668345,38,22,9745,5642,17113.30538840215,66.73154762488653,14.985415977780574,6.558732322377738,0,1,0,3,38,1,256.45,51.29194964841445,BENIGN
192.168.128.48,10.0.194.224,37511,22,TCP,451.84281891622567,83,18,107214,23251,288739.78856835386,223.52905871615943,4.473691276398274,0.47129028283311275,1,1,0,1,83,0,1291.7326732673268,258.34853841805545,BENIGN
192.168.207.173,10.0.141.16,48853,25,TCP,34.7606922188011,228,0,523440,253516,22351568.694589056,6559.132901176263,0.03670611638732956,0.0074610051380976945,1,228,0,1,638,1,3407.7017543859647,164.0880301677981,PortScan
192.168.209.79,10.0.146.151,12469,53,UDP,233.4956205666363,87,55,83608,52855,584434.9442993319,608.1484511589597,1.6443353561030725,0.3888816611345307,0,2,0,4,87,1,961.0070422535211,192.20349341428346,BENIGN
192.168.92.71,10.0.222.171,9977,143,UDP,663.8385673358518,2,1,620,310,1400.9430089793061,4.519170996707439,221.27952244528396,91.58524126953668,1,2,1,1,2,0,310.0,62.02559529966891,BENIGN
192.168.76.38,10.0.243.164,61166,21,TCP,723.4051456086717,40,6,14253,2138,22658.119173604504,63.58815703653268,15.726198817579819,3.022051177494205,0,1,0,3,40,1,356.32608695652175,71.26771003131472,BENIGN
